,region,total
0,AMAZONAS,302721
1,ANCASH,879537
2,APURIMAC,314655
3,AREQUIPA,1135095
4,AYACUCHO,468683
5,CAJAMARCA,1091078
6,CALLAO,818193
7,CUSCO,1016329
8,HUANCAVELICA,296605
9,HUANUCO,580593
10,ICA,646422
11,JUNIN,974480
12,LA LIBERTAD,1416161
13,LAMBAYEQUE,968197
14,LIMA METROPOLITANA,7493689
15,LIMA REGION,754432
16,LORETO,688616
17,MADRE DE DIOS,115559
18,MOQUEGUA,147555
19,PASCO,199908
20,PIURA,1382309
21,PUNO,913406
22,SAN MARTIN,632181
23,TACNA,279518
24,TUMBES,166486
25,UCAYALI,388164
